ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1000000,EUR_USD,buy,4.7700000000000005,1.2253,1.2251,2021-01-04 01:30:00+00:00,2021-01-04 22:00:00+00:00,-95.3999999999895,0.0,1.2161279006088315,0,0.619,0.126,
1000006,EUR_JPY,buy,4.59,126.347,126.327,2021-01-04 09:30:00+00:00,2021-01-04 22:00:00+00:00,-91.79999999998174,0.0,125.3675270495891,0,0.458,0.087,
1000009,EUR_CAD,buy,2.7600000000000002,1.5619070000000002,1.56578,2021-01-04 12:45:00+00:00,2021-01-04 22:00:00+00:00,1068.9479999999428,0.0,1.5418585702644478,0,0.307,0.124,
1000011,GBP_JPY,buy,1.57,139.976,139.958,2021-01-04 15:30:00+00:00,2021-01-04 22:00:00+00:00,-28.26000000000107,0.0,138.00350795004806,0,0.108,0.142,
1000008,EUR_AUD,sell,0.76,1.59814,1.59792,2021-01-04 16:00:00+00:00,2021-01-04 22:00:00+00:00,16.71999999999141,0.0,1.623021003109568,0,0.057,0.195,
1000016,AUD_CHF,buy,4.15,0.67546,0.67564,2021-01-04 16:00:00+00:00,2021-01-04 22:00:00+00:00,74.70000000002864,0.0,0.6662342810933501,0,0.09,0.21,
1000010,EUR_NZD,sell,2.94,1.7127885,1.70815,2021-01-04 17:30:00+00:00,2021-01-04 22:00:00+00:00,1363.718999999997,0.0,1.7333562996211762,0,0.355,0.0,
1000007_partial_1609797600,EUR_CHF,sell,2.88,1.082428,1.07956,2021-01-04 01:15:00+00:00,2021-01-04 22:00:00+00:00,825.9839999999626,0.0,1.0893269789424265,0,,,True
1000013_partial_1609797600,GBP_CAD,buy,0.9,1.724849,1.73473,2021-01-04 15:00:00+00:00,2021-01-04 22:00:00+00:00,889.2900000000026,0.0,1.6930513945785308,0,,,True
1000032_partial_1609871400,GBP_AUD,sell,0.59,1.76986,1.7544500955446862,2021-01-05 00:00:00+00:00,2021-01-05 18:30:00+00:00,909.1843628635116,0.0,1.7935675453158673,0,,,True
1000013,GBP_CAD,buy,0.29999999999999993,1.724849,1.72575,2021-01-04 15:00:00+00:00,2021-01-05 22:00:00+00:00,27.02999999999455,0.0,1.6930513945785308,0,0.365,0.002,
1000028,EUR_JPY,buy,5.07,126.264,126.296,2021-01-05 06:15:00+00:00,2021-01-05 22:00:00+00:00,162.24000000005418,0.0,125.37395368890417,0,0.101,0.236,
1000030,EUR_CAD,buy,2.79,1.561857,1.55796,2021-01-05 15:00:00+00:00,2021-01-05 22:00:00+00:00,-1087.2630000000108,0.0,1.5418286723884158,0,0.124,0.264,
1000032,GBP_AUD,sell,1.7800000000000002,1.76986,1.75546,2021-01-05 00:00:00+00:00,2021-01-05 22:00:00+00:00,2563.199999999995,0.0,1.7722307545315867,0,0.73,0.039,
1000007_partial_1609884000,EUR_CHF,sell,0.72,1.082428,1.0801,2021-01-04 01:15:00+00:00,2021-01-05 22:00:00+00:00,167.61599999999177,0.0,1.0893269789424265,0,,,True
1000020_partial_1609884000,EUR_USD,buy,3.55,1.2255095,1.22959,2021-01-05 00:30:00+00:00,2021-01-05 22:00:00+00:00,1448.5774999999755,0.0,1.2161884077082008,0,,,True
1000020_partial_1609915500,EUR_USD,buy,1.18,1.2255095,1.2314857099896694,2021-01-05 00:30:00+00:00,2021-01-06 06:45:00+00:00,705.1927787809906,0.0,1.2161884077082008,0,,,True
1000044_partial_1609919100,EUR_JPY,buy,1.31,126.212,126.76675652348285,2021-01-06 00:00:00+00:00,2021-01-06 07:45:00+00:00,726.731045762535,0.0,125.35852842541101,0,,,True
