trade_id,symbol,direction,entry_date,exit_date,entry_price,exit_price,stop_loss,take_profit,result_r,profit_usd,win,confluence_score,quality_factors
1,XAG_USD,bearish,2023-01-05 00:00:00+00:00,2023-02-02 00:00:00+00:00,23.341060047149657,24.43894316935612,24.43144316935612,22.68683017382578,-1.01,-332.27,0,15,0
2,SPX500_USD,bullish,2023-01-06 00:00:00+00:00,2023-01-13 00:00:00+00:00,3874.5575,4048.498877278625,3756.8409384914926,3945.1874369051043,1.48,487.62,1,15,0
3,SPX500_USD,bullish,2023-01-09 00:00:00+00:00,2023-05-22 00:00:00+00:00,3968.793,4282.045313300923,3757.201144675928,4095.7481131944432,1.48,488.55,1,15,0
4,NAS100_USD,bearish,2023-01-12 00:00:00+00:00,2023-02-01 00:00:00+00:00,11499.3635,12344.252116659076,12343.502116659076,10992.880330004553,-1.0,-330.29,0,20,0
5,XAG_USD,bearish,2023-01-13 00:00:00+00:00,2023-01-24 00:00:00+00:00,24.04409620285034,22.956720048649345,24.781883368753977,23.60142390330816,1.47,486.37,1,15,0
6,SPX500_USD,bullish,2023-01-19 00:00:00+00:00,2023-01-30 00:00:00+00:00,3906.165,4124.170873523656,3758.755381722603,3994.610770966438,1.48,488.04,1,15,0
7,XAG_USD,bullish,2023-01-24 00:00:00+00:00,2023-02-03 00:00:00+00:00,23.629685985565185,24.642103166503365,22.942410257170184,24.042051422602185,1.47,486.12,1,15,0
8,XAG_USD,bullish,2023-01-24 00:00:00+00:00,2023-02-03 00:00:00+00:00,23.530000686645508,24.403962303314795,22.936023856005825,23.886386785029316,1.47,485.55,1,14,0
9,ETH_USD,bullish,2023-01-29 00:00:00+00:00,2023-02-13 00:00:00+00:00,1616.4921677246093,1497.1600504003472,1487.4260234342823,1693.9318542988055,-0.92,-305.11,0,15,0
10,BTC_USD,bullish,2023-01-29 00:00:00+00:00,2023-03-09 00:00:00+00:00,23096.53470703125,20495.1991688939,20289.353388700787,24780.843498029528,-0.93,-305.8,0,20,0
11,BTC_USD,bullish,2023-01-30 00:00:00+00:00,2023-03-09 00:00:00+00:00,23096.53470703125,20481.965197583402,20275.030908927518,24789.436985893488,-0.93,-305.8,0,20,0
12,BTC_USD,bullish,2023-01-31 00:00:00+00:00,2023-03-09 00:00:00+00:00,23139.283203125,20490.67444564106,20280.940391995195,24854.288889802883,-0.93,-305.79,0,20,0
13,ETH_USD,bullish,2023-02-01 00:00:00+00:00,2023-02-13 00:00:00+00:00,1616.4921677246093,1496.028868327857,1486.2018004121069,1694.6663881121108,-0.92,-305.11,0,15,0
14,XAG_USD,bullish,2023-02-02 00:00:00+00:00,2023-02-03 00:00:00+00:00,23.629685985565185,22.64868189843633,22.65618189843633,24.2137884378425,-1.01,-332.54,0,14,0
15,XAU_USD,bullish,2023-02-03 00:00:00+00:00,2023-02-06 00:00:00+00:00,1895.398594238281,1864.038209283261,1864.113209283261,1914.169825211293,-1.0,-330.79,0,20,0
16,ETH_USD,bullish,2023-02-05 00:00:00+00:00,2023-02-13 00:00:00+00:00,1616.4921677246093,1485.9815755500813,1486.0565755500813,1694.753523029326,-1.0,-330.19,0,15,0
17,XAU_USD,bearish,2023-02-09 00:00:00+00:00,2023-03-17 00:00:00+00:00,1862.8517604980468,1944.2515696961568,1950.8656232665642,1810.0434428369365,-0.92,-305.2,0,20,0
18,SPX500_USD,bullish,2023-02-10 00:00:00+00:00,2023-03-10 00:00:00+00:00,4065.119,3887.2460533049184,3873.427499247747,4180.133900451352,-0.93,-306.21,0,15,0
19,ETH_USD,bearish,2023-02-15 00:00:00+00:00,2023-02-16 00:00:00+00:00,1608.9225998535155,1728.0072933282481,1727.932293328248,1537.516783768676,-1.0,-330.21,0,15,0
20,NAS100_USD,bearish,2023-02-16 00:00:00+00:00,2023-02-23 00:00:00+00:00,12655.559,12042.761810567208,13069.0005023132,12407.494098612078,1.48,489.12,1,20,0
21,NAS100_USD,bullish,2023-02-21 00:00:00+00:00,2023-03-22 00:00:00+00:00,12123.69,13008.944335891882,11526.652037808706,12481.912777314777,1.48,489.31,1,20,0
22,NAS100_USD,bullish,2023-02-23 00:00:00+00:00,2023-03-22 00:00:00+00:00,12123.69,13005.16130962106,11529.201246886078,12480.383251868354,1.48,489.3,1,20,0
23,ETH_USD,bearish,2023-02-24 00:00:00+00:00,2023-03-11 00:00:00+00:00,1608.3731689453125,1387.5185455282942,1757.2475782559718,1519.048523358917,1.48,489.55,1,15,0
24,ETH_USD,bullish,2023-02-25 00:00:00+00:00,2023-03-09 00:00:00+00:00,1570.6920576171874,1455.2269999569155,1445.8110428333434,1645.6206664874937,-0.92,-305.12,0,15,0
25,XAU_USD,bearish,2023-03-03 00:00:00+00:00,2023-03-17 00:00:00+00:00,1845.6864301757812,1966.1400319732056,1966.0650319732056,1773.4592690973266,-1.0,-330.21,0,18,0
26,ETH_USD,bearish,2023-03-12 00:00:00+00:00,2023-03-13 00:00:00+00:00,1582.8960219726562,1699.7250449378887,1699.6500449378887,1512.8436081935167,-1.0,-330.21,0,15,0
27,BTC_USD,bullish,2023-03-12 00:00:00+00:00,2023-03-15 00:00:00+00:00,22163.94921875,26578.38609695596,20143.87755214152,23375.992218715088,2.19,721.14,1,20,0
28,EUR_JPY,bullish,2023-03-12 21:00:00+00:00,2023-03-14 21:00:00+00:00,143.533402,142.31451423544317,142.2954282288346,144.27618626269924,-0.98,-324.91,0,15,0
29,GBP_JPY,bullish,2023-03-12 21:00:00+00:00,2023-03-14 21:00:00+00:00,161.996972,159.89899466114355,159.8076025856532,163.3105936486081,-0.96,-316.22,0,20,0
30,GBP_JPY,bullish,2023-03-12 21:00:00+00:00,2023-03-14 21:00:00+00:00,162.215,159.90585601849045,159.79709525810654,163.6657428451361,-0.96,-315.16,0,20,0
31,CHF_JPY,bullish,2023-03-12 21:00:00+00:00,2023-03-14 21:00:00+00:00,145.33184,147.36255343840645,143.912895634497,146.18320661930179,1.43,472.28,1,15,0
32,EUR_GBP,bullish,2023-03-12 21:00:00+00:00,2023-03-14 21:00:00+00:00,0.8799350199999999,0.8720069721404903,0.8727569721404903,0.8842418487157057,-1.1,-364.48,0,15,0
33,EUR_GBP,bullish,2023-03-12 21:00:00+00:00,2023-03-14 21:00:00+00:00,0.8817915399999999,0.8719579027018838,0.8727079027018838,0.8872417223788696,-1.08,-357.25,0,15,0
34,GBP_NZD,bullish,2023-03-12 21:00:00+00:00,2023-03-16 21:00:00+00:00,1.9428452,1.9669413748774196,1.926102494556995,1.952890823265803,1.44,474.94,1,15,0
35,GBP_NZD,bullish,2023-03-12 21:00:00+00:00,2023-03-21 21:00:00+00:00,1.9455383,1.9770296597004609,1.9238123163743523,1.9585738901753884,1.45,478.33,1,15,0
36,NZD_USD,bearish,2023-03-12 21:00:00+00:00,2023-03-22 21:00:00+00:00,0.6199438199999999,0.6293626191255246,0.6293256372354162,0.6143147296587501,-1.0,-331.3,0,15,0
37,NZD_CAD,bullish,2023-03-12 21:00:00+00:00,2023-03-19 21:00:00+00:00,0.84772966,0.858870256058498,0.8397171289632763,0.8525371786220343,1.39,458.83,1,15,0
