date,start_balance,end_balance,hwm,min_equity_allowed,lowest_equity,highest_equity,max_open_trades,trades_opened,trades_closed,realized_pnl,daily_dd_breached
2023-01-02,60000.0,60000.0,60000.0,57000.0,60598.894526132426,60932.28635127491,5,5,0,0.0,False
2023-01-03,60000.0,60369.0,60889.637890247905,57845.155995735506,60880.704400729825,62200.77573257179,13,8,4,369.0,False
2023-01-04,60369.0,59181.0,61705.69211894235,58620.40751299523,58816.91659737694,62557.45562187261,18,9,6,-1188.0,False
2023-01-05,59181.0,59181.0,59181.0,56221.95,58611.30129489389,59505.97034794762,19,7,0,0.0,False
2023-01-06,59181.0,59415.0,59181.0,56221.95,58122.356951745,60286.79250098326,24,5,4,233.99999999999812,False
2023-01-07,59415.0,59415.0,60279.12074511323,57265.16470785757,60190.69554060391,60190.69554060391,20,0,0,0.0,False
2023-01-09,59415.0,60126.0,60190.69554060391,57181.16076357372,59689.12097578475,60604.26438960519,23,3,5,710.9999999999964,False
2023-01-10,60126.0,59766.0,60126.0,57119.7,59013.614095894874,59614.27117230016,21,3,1,-360.0,False
2023-01-11,59766.0,59406.0,59766.0,56777.7,58911.67429374732,59964.09342333306,27,7,1,-360.0,False
2023-01-12,59406.0,59532.0,59907.5578133967,56912.179922726864,59939.170442046496,62643.85335210949,35,9,7,125.99999999999977,False
2023-01-13,59532.0,59766.0,62600.61509079714,59470.58433625728,62083.15916379014,62798.98500607686,33,5,4,234.00000000000085,False
2023-01-14,59766.0,59766.0,62305.376547432075,59190.10772006047,62317.93783129606,62317.93783129606,29,0,0,0.0,False
2023-01-16,59766.0,59883.0,62317.93783129606,59202.04093973126,61700.84341352193,62638.99459949744,29,0,2,117.0,False
2023-01-17,59883.0,60486.0,61872.742610874644,58779.10548033091,61847.90074000615,63235.11327015947,30,3,2,603.0,False
2023-01-18,60486.0,62070.0,63065.11049372392,59911.854969037726,62835.89987539028,65359.47179682303,45,17,7,1584.0,False
2023-01-19,62070.0,62682.0,65255.0853948033,61992.33112506313,64447.6460969454,66137.34475910518,50,13,7,612.0000000000016,False
2023-01-20,62682.0,62088.0,64750.395158346146,61512.875400428835,63910.36720840425,65394.68833684081,49,6,3,-594.0,False
2023-01-21,62088.0,62088.0,64862.30959361159,61619.194113931015,64827.28823936102,64827.28823936102,47,0,0,0.0,False
2023-01-23,62088.0,61854.0,64827.28823936102,61585.923827392966,63805.737587633295,65887.6320233208,55,8,8,-234.00000000000176,False
2023-01-24,61854.0,62808.0,63805.737587633295,60615.45070825163,63483.583181306,64992.14343226355,50,3,2,954.0,False
2023-01-25,62808.0,62808.0,64948.56344734106,61701.13527497401,64619.46352588177,66490.01514080963,49,1,6,-1.4210854715202004e-14,False
2023-01-26,62808.0,63042.0,66381.3996292951,63062.32964783035,64368.4317503812,67046.42793224555,43,0,4,234.0000000000004,False
2023-01-27,63042.0,63168.0,64496.235387592315,61271.4236182127,64232.63424184559,65420.22267343973,39,0,1,125.99999999999999,False
2023-01-28,63168.0,63168.0,64434.500368313216,61212.77534989756,64520.196214717645,64520.196214717645,38,0,0,0.0,False
2023-01-30,63168.0,63168.0,64520.196214717645,61294.18640398176,63808.041495756195,65430.60909838487,42,4,0,0.0,False
2023-01-31,63168.0,62934.0,63951.157053195384,60753.59920053562,64053.81075715459,66057.10848186522,49,7,2,-234.0,False
2023-02-01,62934.0,62340.0,64766.172390045525,61527.86377054325,64235.2087890291,68371.51841871833,50,3,3,-594.0,False
2023-02-02,62340.0,63924.0,68371.51841871833,64952.94249778242,68347.87668992238,71038.87975497167,53,6,7,1583.9999999999989,False
2023-02-03,63924.0,65175.0,69157.94477739577,65700.04753852598,62967.22948915888,71685.55767530299,58,12,11,1251.0,True
2023-02-04,65175.0,65175.0,65175.0,61916.25,62992.8651620663,62992.8651620663,47,0,0,0.0,False
2023-02-06,65175.0,64464.0,65175.0,61916.25,60795.72366591843,62551.82435866101,50,5,7,-711.0,True
