ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1000019,AUD_NZD,sell,14.89,1.0414455,1.04314,2020-01-02 01:00:00+00:00,2020-01-02 22:00:00+00:00,-2523.1104999998993,0.0,1.0458323847845856,0,0.049,0.797,
1000007,EUR_JPY,buy,3.11,121.80345,121.298,2020-01-02 04:45:00+00:00,2020-01-02 22:00:00+00:00,-1571.9494999999881,0.0,120.75525454780379,0,0.206,0.782,
1000013,GBP_AUD,buy,2.29,1.87936,1.87981,2020-01-02 14:45:00+00:00,2020-01-02 22:00:00+00:00,103.05000000001408,0.0,1.86062,0,0.363,0.027,
1000016,AUD_JPY,buy,4.14,75.7344,75.888,2020-01-02 15:30:00+00:00,2020-01-02 22:00:00+00:00,635.9040000000476,0.0,74.59707143912368,0,0.176,0.053,
1000018,AUD_CAD,buy,5.03,0.90757,0.90775,2020-01-02 16:15:00+00:00,2020-01-02 22:00:00+00:00,90.53999999997886,0.0,0.8963357297781644,0,0.036,0.102,
1000010_partial_1578002400,EUR_CAD,sell,3.24,1.4547329999999998,1.45058,2020-01-02 08:00:00+00:00,2020-01-02 22:00:00+00:00,1345.5719999999517,0.0,1.4678622372760441,0,,,True
1000010,EUR_CAD,sell,1.08,1.4547329999999998,1.4462814957705712,2020-01-02 08:00:00+00:00,2020-01-03 07:45:00+00:00,912.7624567782932,0.0,1.4678622372760441,0,0.67,0.08,
1000037_partial_1578042000,AUD_JPY,sell,1.16,75.71215000000001,75.05788883289966,2020-01-03 00:45:00+00:00,2020-01-03 09:00:00+00:00,758.9429538363993,0.0,76.73139794938514,0,,,True
1000034_partial_1578079800,GBP_AUD,buy,0.64,1.8831,1.8804,2020-01-03 00:00:00+00:00,2020-01-03 19:30:00+00:00,-172.7999999999952,0.0,1.8630695927220733,0,,,True
1000038_partial_1578079800,AUD_CHF,buy,1.64,0.677054,0.67626,2020-01-03 01:45:00+00:00,2020-01-03 19:30:00+00:00,-130.21600000001186,0.0,0.6693690442123277,0,,,True
1000027_partial_1578079800,EUR_GBP,sell,0.71,0.8507684999999999,0.85362,2020-01-03 02:15:00+00:00,2020-01-03 19:30:00+00:00,-202.45650000000833,0.0,0.8604172144981818,0,,,True
1000026_partial_1578079800,NZD_USD,buy,1.34,0.6664,0.6668,2020-01-03 05:15:00+00:00,2020-01-03 19:30:00+00:00,53.5999999999941,0.0,0.6566806340629905,0,,,True
1000025_partial_1578079800,AUD_USD,buy,1.12,0.6948,0.69546,2020-01-03 09:00:00+00:00,2020-01-03 19:30:00+00:00,73.91999999999932,0.0,0.6831416926885361,0,,,True
1000020_partial_1578079800,EUR_USD,buy,0.98,1.1143985,1.11627,2020-01-03 09:15:00+00:00,2020-01-03 19:30:00+00:00,183.40700000000254,0.0,1.105265689705388,0,,,True
