ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,mfe_r,mae_r,partial
1000014,AUD_JPY,buy,3.74,96.29199999999999,96.026,2024-01-02 01:00:00+00:00,2024-01-02 22:00:00+00:00,-994.8399999999668,0.0,94.6428411700271,0,0.258,0.273,
1000001,GBP_USD,buy,2.04,1.2719354999999999,1.26207,2024-01-02 02:30:00+00:00,2024-01-02 22:00:00+00:00,-2012.5619999999715,0.0,1.257257803988912,0,0.277,0.74,
1000010,GBP_JPY,buy,1.42,180.4102,179.152,2024-01-02 08:00:00+00:00,2024-01-02 22:00:00+00:00,-1786.6440000000232,0.0,177.42262829262617,0,0.081,0.558,
1000000,EUR_USD,buy,1.84,1.100337,1.09422,2024-01-02 10:00:00+00:00,2024-01-02 22:00:00+00:00,-1125.5279999999868,0.0,1.0840254198501955,0,0.048,0.399,
1000004,NZD_USD,buy,3.98,0.62508,0.62542,2024-01-02 19:15:00+00:00,2024-01-02 22:00:00+00:00,135.32000000000278,0.0,0.6141390630309004,0,0.053,0.016,
1000018_partial_1704232800,NZD_CAD,sell,5.69,0.83658,0.83356,2024-01-02 00:00:00+00:00,2024-01-02 22:00:00+00:00,1718.380000000013,0.0,0.8442684549041063,0,,,True
1000018,NZD_CAD,sell,1.8899999999999997,0.83658,0.8315825043123309,2024-01-02 00:00:00+00:00,2024-01-03 13:45:00+00:00,944.5266849694505,0.0,0.8442684549041063,0,0.682,0.039,
1000025,NZD_USD,buy,3.5300000000000002,0.6263915,0.62451,2024-01-03 03:45:00+00:00,2024-01-03 22:00:00+00:00,-664.169499999993,0.0,0.6141255585286932,0,0.1,0.366,
1000023,USD_CAD,sell,2.09,1.33524,1.33528,2024-01-03 13:15:00+00:00,2024-01-03 22:00:00+00:00,-8.36000000000836,0.0,1.3627562739401924,0,0.055,0.072,
1000022,USD_JPY,sell,0.64,143.303,143.234,2024-01-03 14:30:00+00:00,2024-01-03 22:00:00+00:00,44.15999999999258,0.0,144.8182857142857,0,0.324,0.286,
1000024,AUD_USD,buy,1.8900000000000001,0.670979,0.67308,2024-01-03 14:30:00+00:00,2024-01-03 22:00:00+00:00,397.0890000000037,0.0,0.6509913508315351,0,0.149,0.039,
1000034,AUD_JPY,buy,3.38,96.469,96.41,2024-01-03 17:00:00+00:00,2024-01-03 22:00:00+00:00,-199.41999999999155,0.0,94.64878108645372,0,0.072,0.094,
1000026_partial_1704319200,EUR_GBP,sell,2.29,0.865284,0.86198,2024-01-03 10:30:00+00:00,2024-01-03 22:00:00+00:00,756.6160000000193,0.0,0.873062942527451,0,,,True
1000030_partial_1704319200,GBP_JPY,buy,1.06,180.4102,181.456,2024-01-03 11:45:00+00:00,2024-01-03 22:00:00+00:00,1108.5479999999848,0.0,177.39051198601,0,,,True
1000035_partial_1704319200,AUD_CAD,buy,5.38,0.896373,0.89864,2024-01-03 14:15:00+00:00,2024-01-03 22:00:00+00:00,1219.6460000000102,0.0,0.8883411051051084,0,,,True
1000038_partial_1704319200,XAU_USD,buy,0.98,2033.2599609374997,2041.29,2024-01-03 14:30:00+00:00,2024-01-03 22:00:00+00:00,786.9438281250232,0.0,2010.3218938640928,0,,,True
1000038,XAU_USD,buy,0.32000000000000006,2033.2599609374997,2048.1697045352144,2024-01-03 14:30:00+00:00,2024-01-04 07:15:00+00:00,477.11179512686806,0.0,2010.3218938640928,0,0.678,0.112,
