ticket,symbol,type,volume,open_price,close_price,open_time,close_time,pnl,swap,sl,tp,partial,mfe_r,mae_r
1000012_partial_1546441200,NZD_CAD,sell,1.89,0.9127820000000001,0.9077387857142858,2019-01-02 02:15:00+00:00,2019-01-02 15:00:00+00:00,953.1675000000033,0.0,0.9206677142857144,0,True,,
1000008_partial_1546465500,GBP_JPY,sell,0.33,139.708,137.3558533509345,2019-01-02 00:00:00+00:00,2019-01-02 21:45:00+00:00,776.208394191616,0.0,143.32668715240848,0,True,,
1000000,EUR_USD,sell,2.68,1.13442,1.1343,2019-01-02 15:30:00+00:00,2019-01-02 22:00:00+00:00,32.159999999972655,0.0,1.1506831475327202,0,,0.118,0.109
1000006,EUR_JPY,sell,1.04,125.624,123.493,2019-01-02 00:00:00+00:00,2019-01-02 22:00:00+00:00,2216.2400000000002,0.0,128.88666696550294,0,,0.664,0.016
1000008,GBP_JPY,sell,0.99,139.708,137.176,2019-01-02 00:00:00+00:00,2019-01-02 22:00:00+00:00,2506.6800000000108,0.0,140.06986871524086,0,,0.705,0.035
1000012,NZD_CAD,sell,5.680000000000001,0.9127820000000001,0.90376,2019-01-02 02:15:00+00:00,2019-01-02 22:00:00+00:00,5124.496000000048,0.0,0.9136155714285715,0,,1.172,0.241
1000001,GBP_USD,sell,3.14,1.2676675,1.2603,2019-01-02 10:45:00+00:00,2019-01-02 22:00:00+00:00,2313.3949999999913,0.0,1.281581719305963,0,,0.686,0.0
1000010_partial_1546466400,AUD_CAD,sell,3.85,0.953835,0.94859,2019-01-02 13:15:00+00:00,2019-01-02 22:00:00+00:00,2019.3249999999787,0.0,0.9654508500900607,0,True,,
1000010_partial_1546468200,AUD_CAD,sell,1.28,0.953835,0.9463671974414605,2019-01-02 13:15:00+00:00,2019-01-02 22:30:00+00:00,955.878727493058,0.0,0.9654508500900607,0,True,,
1000010,AUD_CAD,sell,0.009999999999999565,0.953835,0.9324881773333876,2019-01-02 13:15:00+00:00,2019-01-02 22:45:00+00:00,21.34682266661143,0.0,0.955041585009006,0,,3.8,0.05
1000017,EUR_USD,sell,1.57,1.1337,1.13908,2019-01-03 00:00:00+00:00,2019-01-03 22:00:00+00:00,-844.6600000000255,0.0,1.1531517798518116,0,,0.01,0.381
1000023,GBP_CAD,buy,2.91,1.70422,1.70414,2019-01-03 13:00:00+00:00,2019-01-03 22:00:00+00:00,-23.280000000023282,0.0,1.6832799188909073,0,,0.121,0.21
1000020,USD_CAD,buy,3.2,1.3487,1.34928,2019-01-03 16:15:00+00:00,2019-01-03 22:00:00+00:00,185.60000000000798,0.0,1.3297074071916353,0,,0.069,0.095
1000032,USD_CAD,buy,3.0700000000000003,1.34869,1.33982,2019-01-04 00:00:00+00:00,2019-01-04 19:30:00+00:00,-2723.08999999998,0.0,1.3295540209636614,0,,0.027,0.554
1000030_partial_1546630200,GBP_USD,sell,0.72,1.2677175,1.27407,2019-01-04 09:00:00+00:00,2019-01-04 19:30:00+00:00,-457.37999999999874,0.0,1.2863654512763583,0,True,,
1000034_partial_1546630200,EUR_CAD,buy,0.7,1.5242,1.52686,2019-01-04 14:45:00+00:00,2019-01-04 19:30:00+00:00,186.20000000000746,0.0,1.5062172336104798,0,True,,
1000046_partial_1546630200,UK100_USD,sell,8.08,6840.3,6846.6,2019-01-04 15:15:00+00:00,2019-01-04 19:30:00+00:00,-71.26560000000205,0.0,6971.678028433781,0,True,,
